,day,date,nb_authors,place,room,ref,section,session,pres,invited,lentitle,year
0,Wednesday,16 December 2015,7.0,Moscone West,2018,0.0,SPA-Magnetospheric Physics,Origins of Extreme Events in the Geospace,Oral,1.0,8.0,2015
1,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Cryosphere,Glacier-Ocean Interactions,Poster,0.0,17.0,2015
2,Wednesday,16 December 2015,6.0,Moscone West,2010,1634.0,Paleoceanography and Paleoclimatology,New Insights on Geochemical Cycles toward Redox Proxy Development and Application to the Ancient Ocean and Atmosphere,Oral,0.0,15.0,2015
3,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Taking the Temperature of the Earth,Poster,0.0,5.0,2015
4,Monday,14 December 2015,1.0,Moscone South,Poster Hall,0.0,Study of Earth's Deep Interior,Geochemical and Geophysical Links between Subduction Zone Dynamics and Arc Systems,Poster,0.0,11.0,2015
5,Monday,14 December 2015,2.0,Moscone South,Poster Hall,0.0,Seismology,Seismology Contributions,Poster,0.0,18.0,2015
6,Monday,14 December 2015,2.0,Moscone South,Poster Hall,0.0,Paleoceanography and Paleoclimatology,Limnogeology and Paleolimnology,Poster,0.0,13.0,2015
7,Tuesday,15 December 2015,1.0,Moscone South,Poster Hall,0.0,Hydrology,"Microorganisms, Colloids, Engineered Nanoparticles, and Emerging Contaminants in the Environment",Poster,0.0,16.0,2015
8,Thursday,17 December 2015,2.0,Moscone West,3010,0.0,Atmospheric Sciences,Mechanisms of Anthropogenic Aerosol Forcing on Regional Climate Variability and Change,Oral,1.0,13.0,2015
9,Thursday,17 December 2015,4.0,Moscone South,Poster Hall,0.0,Hydrology,Advances in Hydroclimatology and Climate Change,Poster,0.0,15.0,2015
10,Wednesday,16 December 2015,9.0,Moscone West,3011,0.0,Hydrology,The Hydrology–Vegetation–Climate Nexus,Oral,0.0,1.0,2015
11,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Education,Sharing Best Practices and Effective Models for Program Evaluation and Demonstrating the Impact of Your Education and Public Outreach Programs,Poster,0.0,17.0,2015
12,Monday,14 December 2015,2.0,Moscone West,3012,0.0,Atmospheric Sciences,Evaluating Reanalysis,Oral,0.0,11.0,2015
13,Friday,18 December 2015,2.0,Moscone South,Poster Hall,0.0,Public Affairs,Conflict Ecology and the Environment-Conflict Nexus,Poster,1.0,13.0,2015
14,Wednesday,16 December 2015,3.0,Moscone South,Poster Hall,0.0,Biogeosciences,Urban Areas and Global Change,Poster,0.0,12.0,2015
