,day,date,nb_authors,place,room,ref,section,session,pres,invited,lentitle
3298,Monday,14 December 2015,3.0,Moscone South,Poster Hall,0.0,Geomagnetism and Paleomagnetism,"Illuminating Crustal Structure, Hazards, and Resources",Poster,0.0,11.0
3299,Monday,14 December 2015,4.0,Moscone South,Poster Hall,0.0,Education,Professional Development for Graduate Students in the Geosciences,Poster,1.0,10.0
3301,Thursday,17 December 2015,2.0,Moscone South,Poster Hall,0.0,Mineral and Rock Physics,Fractures and Fracturing in Chemically Reactive Environments,Poster,0.0,13.0
3302,Monday,14 December 2015,5.0,Moscone West,3005,0.0,Global Environmental Change,Sustainable Global Agricultural Production Monitoring Practices and Methods,Oral,0.0,5.0
3303,Tuesday,15 December 2015,1.0,Moscone South,Poster Hall,0.0,Geodesy,Scientific Exploration of the Earth with Multimodal Remote Sensing,Poster,0.0,10.0
3304,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,Paleoceanography and Paleoclimatology,Evolution of the Earth System,Poster,0.0,20.0
3307,Monday,14 December 2015,4.0,Moscone West,2009,0.0,Planetary Sciences,Enceladus,Oral,0.0,4.0
3310,Thursday,17 December 2015,3.0,Moscone South,Poster Hall,0.0,Tectonophysics,Oceanic and Arc Lithospheres,Poster,0.0,9.0
3311,Thursday,17 December 2015,4.0,Moscone South,Poster Hall,0.0,Tectonophysics,Diversity of Fault Slip Modes and the Interplay between Seismic and Aseismic Behavior of Faults,Poster,0.0,19.0
3312,Tuesday,15 December 2015,15.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Toward Reducing Systematic Errors in Weather and Climate Models,Poster,0.0,14.0
3313,Wednesday,16 December 2015,4.0,Moscone South,Poster Hall,0.0,Atmospheric and Space Electricity,Atmospheric and Space Electricity General Contributions,Poster,0.0,9.0
3314,Thursday,17 December 2015,15.0,Moscone South,302,0.0,Natural Hazards,"Unmanned Aircraft Systems (UAS) for Earth Systems Monitoring, Natural Hazard Assessment, and Emergency Response",Oral,1.0,12.0
3315,Tuesday,15 December 2015,11.0,Moscone South,Poster Hall,0.0,Planetary Sciences,Results from the MAVEN Mission to Mars,Poster,0.0,9.0
3317,Tuesday,15 December 2015,8.0,Moscone South,Poster Hall,0.0,SPA-Solar and Heliospheric Physics,Fundamental Physics of the Solar Corona and Inner Heliosphere,Poster,0.0,9.0
3318,Wednesday,16 December 2015,7.0,Moscone West,3012,0.0,Atmospheric Sciences,"Calibration and Validation of Satellite Microwave, Infrared, and Solar Reflective Observations",Oral,0.0,11.0
3320,Monday,14 December 2015,5.0,Moscone South,Poster Hall,0.0,Hydrology,Advances in Petrophysics for Hydrogeophysics and Near Surface Geophysics,Poster,0.0,13.0
3321,Monday,14 December 2015,2.0,Moscone West,3002,0.0,Atmospheric Sciences,Understanding and Attributing Extreme Weather Events and Their Impacts across Actors and Spatial Scales (Half Session),Oral,0.0,13.0
3322,Wednesday,16 December 2015,3.0,Moscone West,2012,0.0,Paleoceanography and Paleoclimatology,Advanced Understanding of Tropical Hydroclimate Changes during the Last Pleistocene and Holocene,Poster,0.0,13.0
3323,Wednesday,16 December 2015,4.0,Moscone West,2018,0.0,SPA-Magnetospheric Physics,Advances in Space Weather Research,Poster,0.0,5.0
3324,Friday,18 December 2015,16.0,Moscone South,Poster Hall,0.0,SPA-Aeronomy,Exploring Geospace,Poster,0.0,14.0
3325,Tuesday,15 December 2015,5.0,Moscone South,Poster Hall,0.0,Planetary Sciences,Processes in the Present-Day Atmosphere of Mars,Poster,0.0,15.0
3326,Friday,18 December 2015,1.0,Moscone West,3001,0.0,Global Environmental Change,Quantifying Model Uncertainties and Robustness in Climate Projections for Hydrological Applications,Poster,1.0,17.0
3327,Wednesday,16 December 2015,5.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Long-Term Climate Data Records and Applications,Poster,0.0,13.0
3330,Monday,14 December 2015,2.0,Moscone South,Poster Hall,0.0,Earth and Space Science Informatics,Publishing Data and Data Citations,Poster,0.0,13.0
3331,Thursday,17 December 2015,1.0,Moscone South,Poster Hall,0.0,Near Surface Geophysics,Near Surface Geophysics General Contributions,Poster,0.0,10.0
3332,Wednesday,16 December 2015,3.0,Moscone West,2002,0.0,Geodesy,Measuring Changes at Volcanoes Using Geodesy,Poster,0.0,7.0
