,day,date,nb_authors,place,room,ref,section,session,pres,invited,lentitle
0,Wednesday,16 December 2015,7.0,Moscone West,2018,0.0,SPA-Magnetospheric Physics,Origins of Extreme Events in the Geospace,Oral,1.0,8.0
1,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Cryosphere,Glacier-Ocean Interactions,Poster,0.0,17.0
2,Wednesday,16 December 2015,6.0,Moscone West,2010,1634.0,Paleoceanography and Paleoclimatology,New Insights on Geochemical Cycles toward Redox Proxy Development and Application to the Ancient Ocean and Atmosphere,Oral,0.0,15.0
3,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Taking the Temperature of the Earth,Poster,0.0,5.0
4,Monday,14 December 2015,1.0,Moscone South,Poster Hall,0.0,Study of Earth's Deep Interior,Geochemical and Geophysical Links between Subduction Zone Dynamics and Arc Systems,Poster,0.0,11.0
5,Monday,14 December 2015,2.0,Moscone South,Poster Hall,0.0,Seismology,Seismology Contributions,Poster,0.0,18.0
6,Monday,14 December 2015,2.0,Moscone South,Poster Hall,0.0,Paleoceanography and Paleoclimatology,Limnogeology and Paleolimnology,Poster,0.0,13.0
7,Tuesday,15 December 2015,1.0,Moscone South,Poster Hall,0.0,Hydrology,"Microorganisms, Colloids, Engineered Nanoparticles, and Emerging Contaminants in the Environment",Poster,0.0,16.0
8,Thursday,17 December 2015,2.0,Moscone West,3010,0.0,Atmospheric Sciences,Mechanisms of Anthropogenic Aerosol Forcing on Regional Climate Variability and Change,Oral,1.0,13.0
9,Thursday,17 December 2015,4.0,Moscone South,Poster Hall,0.0,Hydrology,Advances in Hydroclimatology and Climate Change,Poster,0.0,15.0
10,Wednesday,16 December 2015,9.0,Moscone West,3011,0.0,Hydrology,The Hydrology–Vegetation–Climate Nexus,Oral,0.0,1.0
11,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Education,Sharing Best Practices and Effective Models for Program Evaluation and Demonstrating the Impact of Your Education and Public Outreach Programs,Poster,0.0,17.0
12,Monday,14 December 2015,2.0,Moscone West,3012,0.0,Atmospheric Sciences,Evaluating Reanalysis,Oral,0.0,11.0
13,Friday,18 December 2015,2.0,Moscone South,Poster Hall,0.0,Public Affairs,Conflict Ecology and the Environment-Conflict Nexus,Poster,1.0,13.0
14,Wednesday,16 December 2015,3.0,Moscone South,Poster Hall,0.0,Biogeosciences,Urban Areas and Global Change,Poster,0.0,12.0
15,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Ocean Sciences,Fluid Migration and Gas Hydrate Systems in Continental Margins,Poster,0.0,12.0
16,Wednesday,16 December 2015,7.0,Moscone South,Poster Hall,0.0,Atmospheric and Space Electricity,Energetic Radiation from Lightning and Thunderstorms,Poster,0.0,11.0
18,Monday,14 December 2015,5.0,Moscone South,Poster Hall,0.0,Cryosphere,"Dust, Black Carbon, and Other Aerosols in the Cryosphere",Poster,0.0,13.0
19,Tuesday,15 December 2015,1.0,Moscone West,2007,0.0,Planetary Sciences,Earth Analogues as Case Studies for Martian Geological Materials and Processes,Oral,0.0,4.0
20,Friday,18 December 2015,8.0,Moscone West,2011,0.0,SPA-Solar and Heliospheric Physics,"Ions, Waves, Magnetic Fields, and Cosmic Rays at the Heliopause",Oral,1.0,8.0
21,Monday,14 December 2015,1.0,Moscone South,Poster Hall,0.0,Biogeosciences,Quantifying Biogeochemical Sources and Transformations in Estuaries and Deltas,Poster,0.0,13.0
22,Wednesday,16 December 2015,3.0,Moscone South,Poster Hall,0.0,Seismology,Advances in Understanding Slow Slip and Transitional Regions,Poster,0.0,11.0
23,Tuesday,15 December 2015,2.0,Moscone West,3002,0.0,Union,FRONTIERS IN GEOSYSTEMS,Oral,0.0,14.0
24,Monday,14 December 2015,5.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology","Geology, Geophysics, Geochemistry, and Biology of Serpentinization Processes on Earth and Other Planets",Poster,0.0,15.0
25,Tuesday,15 December 2015,1.0,Moscone South,Poster Hall,0.0,Planetary Sciences,Planetary Atmospheres and Their Evolution,Poster,0.0,11.0
26,Monday,14 December 2015,8.0,Moscone West,3010,0.0,Atmospheric Sciences,Air Quality Research,Oral,1.0,13.0
27,Monday,14 December 2015,4.0,Moscone South,300,0.0,Geomagnetism and Paleomagnetism,Reconstructing the Secular Variation of the Earth's Magnetic Field in the Past,Oral,1.0,12.0
28,Friday,18 December 2015,19.0,Moscone West,2011,0.0,SPA-Solar and Heliospheric Physics,Solar and Heliospheric Physics General Contributions Sun and Corona,Oral,1.0,8.0
29,Friday,18 December 2015,2.0,Moscone West,2005,0.0,Earth and Planetary Surface Processes,Fluvial Morphodynamics,Oral,0.0,10.0
31,Friday,18 December 2015,4.0,Moscone West,3006,0.0,Atmospheric Sciences,Tropical and Midlatitude Convective Storm Systems and Their Roles in Weather and Climate,Oral,1.0,13.0
32,Monday,14 December 2015,2.0,Moscone West,3010,0.0,Atmospheric Sciences,Air Quality Research,Oral,1.0,12.0
33,Monday,14 December 2015,4.0,Moscone West,2011,0.0,SPA-Solar and Heliospheric Physics,Fundamental Physics of the Solar Corona and Inner Heliosphere,Oral,1.0,16.0
34,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Hydrology,Environmental Vadose Zone Hydrology,Poster,0.0,14.0
35,Friday,18 December 2015,3.0,Moscone West,3016,0.0,Hydrology,Modeling the Critical Zone,Oral,0.0,6.0
36,Friday,18 December 2015,4.0,Moscone West,3024,0.0,Near Surface Geophysics,Geophysical Methods for Groundwater Evaluation and Management,Oral,1.0,14.0
37,Tuesday,15 December 2015,7.0,Moscone West,2009,0.0,Planetary Sciences,"Evolutions, Interactions, and Origins of Outer Planet Satellites",Oral,1.0,9.0
38,Tuesday,15 December 2015,22.0,Moscone West,3008,0.0,Atmospheric Sciences,"Aerosols, Clouds, Precipitation,Â Trace Gas Chemistry, Meteorology, and Their Complex Interactions in Amazonia",Oral,0.0,20.0
39,Monday,14 December 2015,5.0,Moscone West,3001,0.0,Atmospheric and Space Electricity,The Meteorology and Climatology of Lightning,Oral,1.0,8.0
41,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,Earth and Planetary Surface Processes,Poster,0.0,17.0
42,Wednesday,16 December 2015,3.0,Moscone South,Poster Hall,0.0,Education,Education General Contributions,Poster,0.0,10.0
43,Friday,18 December 2015,2.0,Moscone West,3011,0.0,Hydrology,Integrated Large-Scale Observations and Experiments,Oral,1.0,15.0
44,Wednesday,16 December 2015,8.0,Moscone South,Poster Hall,0.0,SPA-Magnetospheric Physics,Moon-Plasma Interactions throughout the Solar System,Poster,0.0,10.0
47,Monday,14 December 2015,8.0,Moscone West,3014,0.0,Paleoceanography and Paleoclimatology,Sea Levels and Ice Sheets during Past Warm Periods,Poster,1.0,18.0
48,Tuesday,15 December 2015,3.0,Moscone West,2005,0.0,Earth and Planetary Surface Processes,Coastal Geomorphology and Morphodynamics,Oral,0.0,5.0
49,Monday,14 December 2015,7.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Arctic Tropospheric Composition,Poster,0.0,12.0
50,Tuesday,15 December 2015,1.0,Moscone West,2005,0.0,Earth and Planetary Surface Processes,Coastal Geomorphology and Morphodynamics,Oral,1.0,12.0
51,Friday,18 December 2015,10.0,Moscone South,307,0.0,Seismology,Quantifying Volcanic Processes Using Seismic and Acoustic Wavefields,Oral,1.0,12.0
52,Monday,14 December 2015,1.0,Moscone South,Poster Hall,0.0,SPA-Solar and Heliospheric Physics,The Role of Electron Thermodynamics for the Multiscale Evolution of the Solar Wind,Poster,1.0,11.0
53,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,Seismology,Advances in Understanding Slow Slip and Transitional Regions,Poster,0.0,12.0
54,Friday,18 December 2015,2.0,Moscone South,Poster Hall,0.0,Education,Sharing Best Practices and Effective Models for Program Evaluation and Demonstrating the Impact of Your Education and Public Outreach Programs,Poster,0.0,10.0
55,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,Natural Hazards,Geological Records and Modeling of Tsunamis and Storms for Natural Hazard Assessment,Poster,0.0,13.0
58,Friday,18 December 2015,12.0,Moscone West,2009,0.0,Planetary Sciences,Using Current Chemistry and Mineralogy Data to Guide Future Discoveries from Mars 2020,Oral,0.0,9.0
59,Wednesday,16 December 2015,1.0,Moscone South,306,0.0,Tectonophysics,Cumulative Deformation in the Overlying Plate due to Subduction and Related Feedbacks,Poster,1.0,18.0
60,Friday,18 December 2015,8.0,Moscone West,2009,0.0,SPA-Magnetospheric Physics,Synergistic Studies of Global and Kinetic Magnetospheric Processes using Multipoint Space and Ground Assets,Oral,1.0,12.0
61,Monday,14 December 2015,7.0,Moscone West,3016,0.0,Hydrology,"Data Integration, Inverse Methods, and Data Valuation across a Range of Scales in Hydrogeophysics",Oral,0.0,13.0
62,Tuesday,15 December 2015,2.0,Moscone South,Poster Hall,0.0,Ocean Sciences,Eastern Boundary Upwelling Systems,Poster,0.0,18.0
63,Thursday,17 December 2015,5.0,Moscone South,300,0.0,Geomagnetism and Paleomagnetism,"Advances in Environmental Magnetism, Bio-Geomagnetism, and High-Resolution Paleomagnetism Studies",Oral,1.0,22.0
67,Monday,14 December 2015,3.0,Moscone West,2016,0.0,SPA-Aeronomy,Magnetosphere-Ionosphere-Thermosphere Coupling in the Polar Cap,Oral,1.0,16.0
68,Wednesday,16 December 2015,4.0,Moscone West,2016,0.0,SPA-Magnetospheric Physics,Field-Aligned Currents,Oral,1.0,12.0
69,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Natural Hazards,"Climate, Hydro-Epidemiology and Health",Poster,0.0,7.0
70,Monday,14 December 2015,6.0,Moscone West,3003,0.0,Global Environmental Change,Dating the Anthropocene,Oral,0.0,14.0
71,Thursday,17 December 2015,2.0,Moscone South,Poster Hall,0.0,Hydrology,Interdisciplinary Advances in Subsurface Contaminant Transport and Remediation,Poster,0.0,17.0
72,Tuesday,15 December 2015,2.0,Moscone South,Poster Hall,0.0,Seismology,Seismic Modeling and Inversion,Poster,0.0,14.0
73,Wednesday,16 December 2015,4.0,Moscone South,Poster Hall,0.0,Global Environmental Change,The Water-Energy Nexus,Poster,0.0,13.0
74,Wednesday,16 December 2015,1.0,Moscone West,3010,0.0,Atmospheric Sciences,Large-Scale Atmospheric Transport and Mixing,Oral,1.0,11.0
75,Thursday,17 December 2015,12.0,Moscone West,2009,0.0,SPA-Magnetospheric Physics,Radiation Belt Dynamics in the Earth's Inner Zone and Slot Region,Oral,1.0,18.0
82,Wednesday,16 December 2015,5.0,Moscone South,Poster Hall,0.0,SPA-Aeronomy,Composition and Temperature of the Thermosphere,Poster,0.0,23.0
83,Thursday,17 December 2015,1.0,Moscone South,310,0.0,"Volcanology, Geochemistry and Petrology",Interdisciplinary Perspectives on Continental Crust Evolution,Poster,1.0,17.0
84,Thursday,17 December 2015,2.0,Moscone West,3008,0.0,Atmospheric Sciences,Dynamics and Predictability of Midlatitude Storms in a Changing Climate,Poster,0.0,14.0
86,Thursday,17 December 2015,9.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Remote Sensing of CO2 and CH4 from Space,Poster,0.0,14.0
87,Friday,18 December 2015,4.0,Moscone South,Poster Hall,0.0,Seismology,Quantifying Volcanic Processes Using Seismic and Acoustic Wavefields,Poster,0.0,19.0
88,Monday,14 December 2015,5.0,Moscone South,Poster Hall,0.0,Hydrology,Advances in Ecohydrology of Water-Stressed Environments,Poster,0.0,9.0
90,Monday,14 December 2015,2.0,Moscone West,3011,0.0,Hydrology,Food Security in the Water-Food-Energy Nexus,Oral,1.0,13.0
93,Monday,14 December 2015,3.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",The Ophiolite-Subduction Connection,Poster,1.0,19.0
94,Friday,18 December 2015,2.0,Moscone South,306,0.0,Tectonophysics,Rifts and Passive Margins,Oral,0.0,11.0
95,Thursday,17 December 2015,9.0,Moscone West,3003,0.0,Global Environmental Change,Characterizing and Interpreting Changes in Temperature and Precipitation Extremes,Oral,1.0,13.0
96,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Global Environmental Change,"Land Surface, Snow, and Soil moisture in Land-Climate Feedback and Model Diagnosis",Poster,0.0,27.0
98,Thursday,17 December 2015,5.0,Moscone West,2006,0.0,Biogeosciences,Novel Approaches for Moving Beyond Plant Functional Types and Considering Future Vegetation Distributions,Oral,1.0,12.0
99,Wednesday,16 December 2015,5.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",The Origin of Basaltic Magmatism,Poster,1.0,11.0
100,Wednesday,16 December 2015,5.0,Moscone South,300,0.0,Geomagnetism and Paleomagnetism,"Illuminating Crustal Structure, Hazards, and Resources",Oral,0.0,15.0
102,Monday,14 December 2015,3.0,Moscone West,3009,0.0,Cryosphere,Glacier-Ocean Interactions,Oral,1.0,7.0
103,Monday,14 December 2015,1.0,Moscone West,2016,0.0,SPA-Magnetospheric Physics,Magnetosphere-Ionosphere Coupling Processes,Oral,1.0,16.0
104,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Natural Hazards,"Advances in Tsunami Observation, Modeling, and Forecasting",Poster,0.0,12.0
106,Monday,14 December 2015,5.0,Moscone South,Poster Hall,0.0,Natural Hazards,"Characterization of Asteroids, Risk Assessment, and Planetary Defense",Poster,0.0,3.0
107,Tuesday,15 December 2015,10.0,Moscone South,308,0.0,"Volcanology, Geochemistry and Petrology",Volcano-Hydrothermal Systems,Oral,0.0,28.0
108,Thursday,17 December 2015,5.0,Moscone West,3020,0.0,Hydrology,Modeling Hydrological Processes and Changes,Oral,0.0,23.0
113,Tuesday,15 December 2015,5.0,Moscone West,3006,0.0,Atmospheric Sciences,"Multisensor, Model, and Measurement Synergy",Oral,1.0,6.0
114,Tuesday,15 December 2015,2.0,Moscone South,301,0.0,Mineral and Rock Physics,Matter in Planetary Interiors,Oral,0.0,6.0
115,Monday,14 December 2015,1.0,Moscone West,2024,0.0,Planetary Sciences,Whipple Lecture,Oral,1.0,9.0
116,Wednesday,16 December 2015,2.0,Moscone South,102,0.0,Union,"The 25 April 2015 M7.8 Gorkha, Nepal, Earthquake Sequence",Oral,1.0,14.0
120,Thursday,17 December 2015,2.0,Moscone West,2005,0.0,Earth and Planetary Surface Processes,"Distinguishing Climate, Tectonic, and Autogenic Drivers in Fluvial Records",Oral,0.0,3.0
121,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",The Origin of Basaltic Magmatism,Poster,1.0,9.0
124,Tuesday,15 December 2015,5.0,Moscone West,2018,0.0,SPA-Magnetospheric Physics,"Bow Shock, Magnetosheath, Magnetopause, and Mid-Tail Processes and Their Role in Solar Wind-Magnetosphere Coupling",Poster,1.0,17.0
125,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology","Volcanology, Geochemistry, and Petrology General Contributions",Poster,0.0,22.0
128,Monday,14 December 2015,8.0,Moscone West,3008,0.0,Atmospheric Sciences,Atmospheric Ice Formation Processes and Impacts,Oral,1.0,19.0
129,Thursday,17 December 2015,1.0,Moscone West,3012,0.0,Atmospheric Sciences,Methodologies and Resulting Uncertainties in Long-Term Records of Ozone and Other Atmospheric Essential Climate Variables Constructed from Multiple Data Sources,Oral,0.0,10.0
130,Tuesday,15 December 2015,1.0,Moscone South,104,0.0,Geomagnetism and Paleomagnetism,Bullard Lecture,Oral,0.0,5.0
131,Monday,14 December 2015,7.0,Moscone West,3003,0.0,Global Environmental Change,Climate-Vegetation Interaction and Land Cover/Land Use Change in Semi-Arid Grassland Ecosystems,Poster,0.0,14.0
132,Thursday,17 December 2015,11.0,Moscone West,3007,0.0,Cryosphere,"Hydrology of Glaciers, Ice Caps, and Ice Sheets in Past, Present, and Future Climates",Oral,1.0,15.0
134,Tuesday,15 December 2015,5.0,Moscone South,309,0.0,Natural Hazards,Geological Records and Modeling of Tsunamis and Storms for Natural Hazard Assessment,Poster,1.0,15.0
135,Friday,18 December 2015,8.0,Moscone West,3007,0.0,Cryosphere,Monitoring Changes in Sea Ice Using Airborne and Satellite Remote Sensing,Oral,1.0,13.0
136,Thursday,17 December 2015,2.0,Moscone West,2003,0.0,Paleoceanography and Paleoclimatology,Climate of the Common Era,Oral,0.0,7.0
137,Tuesday,15 December 2015,4.0,Moscone West,2002,109.0,Biogeosciences,(Bio-Isotopic) Message in a (Rock Record) Bottle,Oral,0.0,2.0
138,Friday,18 December 2015,1.0,Moscone West,2005,0.0,Earth and Planetary Surface Processes,Erosion and Sediment Transport in Steep Landscapes,Oral,1.0,16.0
139,Friday,18 December 2015,4.0,Moscone South,309,0.0,Natural Hazards,Natural Hazards Research and Mitigation,Oral,1.0,10.0
141,Wednesday,16 December 2015,1.0,Moscone West,2009,0.0,SPA-Solar and Heliospheric Physics,Approaching Kappa Distributions,Oral,1.0,13.0
142,Thursday,17 December 2015,16.0,Moscone West,2018,0.0,SPA-Magnetospheric Physics,Electron to Ion Scale Observations of Magnetic Reconnection,Oral,1.0,28.0
143,Monday,14 December 2015,3.0,Moscone South,Poster Hall,0.0,Tectonophysics,How Earth Works 100 Years after Wegener's Continental Drift Theory,Poster,0.0,10.0
145,Friday,18 December 2015,4.0,Moscone South,Poster Hall,0.0,Seismology,General Contributions in Seismology,Poster,0.0,17.0
146,Thursday,17 December 2015,4.0,Moscone South,Poster Hall,0.0,SPA-Aeronomy,Vertical Coupling of the Lower Atmosphere to the Thermosphere-Ionosphere System,Poster,0.0,14.0
148,Monday,14 December 2015,9.0,Moscone South,Poster Hall,0.0,SPA-Magnetospheric Physics,"Bow Shock, Magnetosheath, Magnetopause, and Mid-Tail Processes and Their Role in Solar Wind-Magnetosphere Coupling",Poster,0.0,21.0
149,Tuesday,15 December 2015,5.0,Moscone South,Poster Hall,0.0,Tectonophysics,Building the Andes,Poster,0.0,6.0
150,Wednesday,16 December 2015,4.0,Moscone South,Poster Hall,0.0,Hydrology,"Evapotranspiration, Evaporative Demand, and Droughts",Poster,0.0,9.0
152,Thursday,17 December 2015,1.0,Moscone West,3010,0.0,Atmospheric Sciences,Process-Oriented Evaluation of Climate Model Physics Using Observations and High-Resolution Models,Oral,1.0,11.0
153,Friday,18 December 2015,4.0,Moscone South,Poster Hall,0.0,Biogeosciences,Ecosystems Biogeochemistry to Dynamic Hydrological and Climatic Drivers,Poster,0.0,8.0
154,Thursday,17 December 2015,6.0,Moscone South,Poster Hall,0.0,Earth and Space Science Informatics,"Semantics for the Discovery, Access, and Integration of Geoscience Data",Poster,0.0,13.0
156,Friday,18 December 2015,5.0,Moscone West,3004,0.0,Atmospheric Sciences,Identifying Links between the Large-Scale Atmospheric Circulation and Climate Extremes,Oral,0.0,15.0
158,Thursday,17 December 2015,2.0,Moscone West,3008,0.0,Atmospheric Sciences,Dynamics and Predictability of Midlatitude Storms in a Changing Climate,Oral,1.0,14.0
160,Monday,14 December 2015,8.0,Moscone West,3005,0.0,Global Environmental Change,Climate Refugia in a Changing World,Oral,1.0,8.0
161,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,Erosion and Sediment Transport in Steep Landscapes,Poster,0.0,5.0
162,Wednesday,16 December 2015,9.0,Moscone West,2008,0.0,Biogeosciences,"Soil Carbon Stocks, Fluxes, and Vulnerability at Large Spatial Scales",Oral,0.0,8.0
163,Friday,18 December 2015,7.0,Moscone West,2018,0.0,SPA-Magnetospheric Physics,Waves and Particles at the Magnetic Equator,Oral,1.0,10.0
165,Friday,18 December 2015,4.0,Moscone West,3011,0.0,Hydrology,Integrated Large-Scale Observations and Experiments,Oral,0.0,2.0
167,Monday,14 December 2015,5.0,Moscone West,2002,0.0,Geodesy,Recent Advances in the Application of InSAR and High-Resolution Geodetic Data for Crustal Deformation Research,Poster,0.0,4.0
170,Wednesday,16 December 2015,4.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Instrument Characterization and Calibration for Climate and Environmental Measurements,Poster,0.0,7.0
171,Wednesday,16 December 2015,1.0,Moscone South,306,0.0,Tectonophysics,Cumulative Deformation in the Overlying Plate due to Subduction and Related Feedbacks,Oral,1.0,14.0
173,Monday,14 December 2015,7.0,Moscone West,2016,0.0,SPA-Aeronomy,Magnetosphere-Ionosphere-Thermosphere Coupling in the Polar Cap,Poster,0.0,18.0
175,Friday,18 December 2015,3.0,Moscone West,2018,0.0,SPA-Magnetospheric Physics,Inner Magnetosphere Cross-Population Interactions,Oral,1.0,15.0
178,Thursday,17 December 2015,1.0,Moscone West,3024,0.0,Near Surface Geophysics,Current Trends in High-Resolution Subsurface Imaging,Oral,1.0,17.0
179,Tuesday,15 December 2015,8.0,Moscone South,Poster Hall,0.0,Global Environmental Change,"Land Surface, Snow, and Soil moisture in Land-Climate Feedback and Model Diagnosis",Poster,0.0,13.0
181,Friday,18 December 2015,1.0,Moscone West,3003,0.0,Global Environmental Change,Trace Metal Cycling in the Environment,Oral,1.0,10.0
184,Friday,18 December 2015,1.0,Moscone West,3022,0.0,Hydrology,Hydrologic Data Assimilation,Poster,0.0,9.0
185,Wednesday,16 December 2015,6.0,Moscone West,2008,0.0,Biogeosciences,"Soil Carbon Stocks, Fluxes, and Vulnerability at Large Spatial Scales",Poster,1.0,12.0
186,Wednesday,16 December 2015,2.0,Moscone West,2002,0.0,Geodesy,"Gravity, Geoids, and Geopotential Reference Frames",Poster,0.0,9.0
189,Tuesday,15 December 2015,9.0,Moscone South,Poster Hall,0.0,Natural Hazards,Tsunami Hazard Response and Mitigation,Poster,0.0,12.0
190,Friday,18 December 2015,4.0,Moscone South,309,0.0,Natural Hazards,Natural Hazards Research and Mitigation,Oral,1.0,8.0
193,Tuesday,15 December 2015,2.0,Moscone South,307,0.0,Seismology,Seismic Modeling and Inversion,Oral,1.0,16.0
195,Thursday,17 December 2015,5.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,"Aeolian Research at the Interface of Biophysical, Sedimentary, and Atmospheric Processes",Poster,0.0,12.0
196,Wednesday,16 December 2015,4.0,Moscone South,102,0.0,Union,"The 25 April 2015 M7.8 Gorkha, Nepal, Earthquake Sequence",Poster,1.0,9.0
197,Wednesday,16 December 2015,1.0,Moscone West,2011,0.0,SPA-Solar and Heliospheric Physics,Solar Activity in Cycle 24 and Beyond,Oral,0.0,7.0
198,Thursday,17 December 2015,3.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Tropospheric Chemistry-Climate-Biosphere Interactions,Poster,0.0,14.0
200,Thursday,17 December 2015,2.0,Moscone South,Poster Hall,0.0,Hydrology,Advances in Hydroclimatology and Climate Change,Poster,0.0,9.0
201,Thursday,17 December 2015,2.0,Moscone South,Poster Hall,0.0,Biogeosciences,Benchmarking Next-Generation Reactive Transport Models for Predicting Watershed Biogeochemical Cycling,Poster,1.0,7.0
202,Friday,18 December 2015,6.0,Moscone West,2011,0.0,SPA-Solar and Heliospheric Physics,Measurements at the Boundary of the Heliosphere and Beyond and IMAP Preparations,Poster,1.0,19.0
204,Monday,14 December 2015,4.0,Moscone West,2002,0.0,Biogeosciences,Hydrate-Bearing Sediments,Oral,0.0,22.0
205,Monday,14 December 2015,2.0,Moscone West,3006,0.0,Atmospheric Sciences,Atmospheric Circulations and Their Role in the Hydrological Cycle,Oral,1.0,11.0
206,Thursday,17 December 2015,3.0,Moscone South,Poster Hall,0.0,Hydrology,"Concepts and Practice of Model Verification, Validation, and Uncertainty Quantification in Computational Geosciences",Poster,0.0,12.0
208,Monday,14 December 2015,10.0,Moscone South,Poster Hall,0.0,Paleoceanography and Paleoclimatology,Water Isotope Systematics,Poster,0.0,10.0
209,Thursday,17 December 2015,1.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Drought Trends and Vulnerability of North American Forest and Rangelands,Poster,1.0,12.0
210,Tuesday,15 December 2015,3.0,Moscone West,2002,0.0,Geodesy,Unique Uses of Geodetic Data,Oral,1.0,7.0
212,Tuesday,15 December 2015,6.0,Moscone South,310,0.0,"Volcanology, Geochemistry and Petrology",Yellowstone Volcanism from Its Current Expression to Early Vestiges of Hotspot Activity via Geophysical and Petrologic Studies,Poster,1.0,13.0
214,Friday,18 December 2015,4.0,Moscone South,308,0.0,"Volcanology, Geochemistry and Petrology",Transport of Volatiles from Mantle to Surface,Oral,0.0,10.0
215,Thursday,17 December 2015,4.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Cloud Observations and Uncertainties,Poster,0.0,8.0
216,Thursday,17 December 2015,5.0,Moscone West,3022,0.0,Hydrology,Remote Sensing and Modeling of the Terrestrial Water Cycle,Oral,0.0,9.0
217,Tuesday,15 December 2015,1.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Tropical Cyclones and Climate on All Timescales,Poster,0.0,6.0
220,Monday,14 December 2015,3.0,Moscone West,2024,0.0,Hydrology,Hydroclimatic Extremes,Poster,0.0,10.0
222,Friday,18 December 2015,5.0,Moscone West,3007,0.0,Cryosphere,Advances in Understanding Sea Ice Variability and Change in the Coupled Earth System,Oral,1.0,10.0
223,Wednesday,16 December 2015,1.0,Moscone West,3005,0.0,Global Environmental Change,Long-Term Climate Data Records and Applications,Oral,0.0,5.0
224,Monday,14 December 2015,2.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Global Eyes on the New Arctic,Poster,0.0,36.0
226,Wednesday,16 December 2015,5.0,Moscone West,2018,0.0,SPA-Magnetospheric Physics,Origins of Extreme Events in the Geospace,Poster,1.0,14.0
227,Wednesday,16 December 2015,5.0,Moscone South,102,0.0,Union,"The 25 April 2015 M7.8 Gorkha, Nepal, Earthquake Sequence",Oral,1.0,18.0
228,Friday,18 December 2015,4.0,Moscone South,302,0.0,Tectonophysics,Mechanics of Anthropogenically Induced Fracture and Slip Processes from Aseismic Creep to Earthquakes,Oral,1.0,18.0
229,Wednesday,16 December 2015,8.0,Moscone West,3022,0.0,Hydrology,Evapotranspiration,Oral,0.0,1.0
230,Friday,18 December 2015,4.0,Moscone South,Poster Hall,0.0,Hydrology,Advances in Hydrometeorological Extremes Forecasting,Poster,0.0,12.0
231,Tuesday,15 December 2015,1.0,Moscone West,2005,0.0,Earth and Planetary Surface Processes,"Sources, Transport Processes, and Deposition/Storage of Fine-Grained and Cohesive Sediment",Oral,0.0,4.0
232,Thursday,17 December 2015,1.0,Moscone South,309,0.0,Natural Hazards,"Monitoring, Prediction, and Hazard Mitigation of Hydroclimatic Extreme Events",Oral,0.0,4.0
233,Monday,14 December 2015,7.0,Moscone West,2007,0.0,Planetary Sciences,Planetary Atmospheres and Their Evolution,Poster,0.0,16.0
234,Thursday,17 December 2015,3.0,Moscone West,3011,0.0,Hydrology,Water Resources Management and Policy in a Changing World,Oral,0.0,3.0
235,Monday,14 December 2015,8.0,Moscone West,2010,0.0,Biogeosciences,Terrestrial Biome Fluxes and Biogeochemical Impacts of Forest Disturbances,Poster,1.0,14.0
236,Friday,18 December 2015,1.0,Moscone South,303,0.0,Study of Earth's Deep Interior,Melt and Liquids in Earth and Planetary Interiors,Oral,0.0,10.0
237,Wednesday,16 December 2015,4.0,Moscone South,305,0.0,Natural Hazards,Seismology without Seismometers,Oral,1.0,8.0
238,Thursday,17 December 2015,4.0,Moscone West,2011,0.0,SPA-Solar and Heliospheric Physics,Scientific Aspects of Space Weather Forecasting,Oral,1.0,12.0
239,Monday,14 December 2015,3.0,Moscone West,2002,0.0,Geodesy,Scientific Exploration of the Earth with Multimodal Remote Sensing,Oral,1.0,11.0
240,Tuesday,15 December 2015,1.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",Generation and Evolution of the Oceanic Lithosphere,Poster,0.0,16.0
